"Transfer TimeStamp","Transfer Date","Line Item Amount EUR","Acct. Label","Report Code","Event Period","District Office","Event Type","Expense Description","Expense Type","Travel Mode","Travel Dist"
22-Jun-16,22-Jun-16,39.00,E7082,MK520,Apr-2016,J0,Other,Educational materials - for Area J1,Marketing,,
22-Jun-16,22-Jun-16,25.25,E7078,CO154,Apr-2016,J0,Speech contest,Speech contest - Area J1 ,Conference,,
22-Jun-16,22-Jun-16,127.90,E7060,TR958A,Jan-2016,J0,DECM,DECM travel to Budapest - Director Area J1,Travel,Air,868 km
22-Jun-16,22-Jun-16,120.92,E7082,CO153,Apr-2016,J0,Conference,Marketing costs for Division J Conference,Marketing,,
22-Jun-16,22-Jun-16,203.00,E7062,TR963,May-2016,J0,Conference,Travel from D95 Conference - AD Candidate Zbigniew Dzideczek,Travel,Car,"1,193 km"
22-Jun-16,22-Jun-16,42.73,E7010,MK552,Apr-2016,J0,Speech contest,Educational materials for Toastmasters Polska Club,Educational Material,,
26-Jun-16,26-Jun-16,201.10,E7062,TR963,May-2016,J0,Conference,Travel to D95 Conference - AD Candidate Zbigniew Dzideczek,Travel,Car,"1,183 km"
02-May-16,02-May-16,9.56,E7062,TR958A,Feb-2016,H2,DECM,Hungary Road Tax vignete,Travel,Car,
02-May-16,02-May-16,97.24,E7062,TR958A,Feb-2016,H2,DECM,gas cost,Travel,Car,313 km
02-May-16,02-May-16,102.00,E7062,TR958B,Feb-2016,H2,Club visit,transport from Timisoara to Satu Mare and return,Travel,Car,300 km
02-May-16,02-May-16,44.62,E7014,ET702,Feb-2016,H2,COT,Room rental for organising club officers training. 200 ron = 50 Euro,Venue rental,,
29-Jun-16,29-Jun-16,102.00,E7062,TR958B,Apr-2016,H2,Other,"I have delivered a leadership training for Toastmasters Satu Mare club, and traveled by car.",Travel,Car,300 km
29-Jun-16,29-Jun-16,50.00,E7014,MK520,May-2016,H2,Other,"Event organised for Toastmasters Radauti (prospect club), After the event the memebrship grew from 8 to 17",Venue rental,,
29-Jun-16,29-Jun-16,121.00,E7062,TR958B,May-2016,H2,Other,I have traveled from Brasov to Radauti to deliver a training for Toastmasters Radauti (prospect club) ,Travel,Car,356 km
24-Feb-16,24-Feb-16,46.10,E7072,MK511,Nov-2015,DD,Other,New club banner delivery and customs,Marketing,,
03-Jun-16,03-Jun-16,565.00,E7008,CO152,May-2016,SC95,Conference,"Marketing, trophies, banners",Marketing,,
29-Jun-16,29-Jun-16,897.50,E7014,ET703,May-2016,DD,Other,Sunday Boavista Hotel,Venue rental,,
29-Jun-16,29-Jun-16,384.40,E7022,CO152,May-2016,SC95,Conference,Sound system ,Communication,,
29-Jun-16,29-Jun-16,75.36,E7016,CO152,May-2016,SC95,Conference,Gala dinner table arrangements,Other,,
02-May-16,02-May-16,6860.00,E7016,CO152,May-2016,SC95,Speech contest,First payment for venue + gala dinner,Venue rental,,
27-Feb-16,27-Feb-16,59.00,E7020,CO151,Nov-2015,D95,Conference,Disrict conference booklet binding costs,Conference,,
27-Feb-16,27-Feb-16,12.00,E7020,CO151,Nov-2015,D95,Conference,Disrict conference booklet binding costs (only DPH portion),Conference,,
19-Apr-16,19-Apr-16,14.27,E7064,TR958A,Sep-2015,I1,DECM,taxi to hotel Wroclav,Travel,Train,720 km
19-Apr-16,19-Apr-16,49.64,E7062,TR958B,Jan-2016,I1,Club visit,Club Visit Salzburg 2x 146km,Travel,Car,146 km
