"Transfer TimeStamp","Transfer Date","Line Item Amount EUR","Acct. Label","Report Code","Event Period","District Office","Event Type","Expense Description","Expense Type","Travel Mode","Travel Dist"
21-Oct-15,21-Oct-15,13.83,E7066,TR958A,Sep-2015,J4,DECM,Bus tickets only 30 PLN + 30 PLN = 60PLN,Travel,Bus,174 km
31-Dec-15,31-Dec-15,19.31,E7020,SC802,Sep-2015,J4,Speech contest,"Marketing material, like printing agenda's and certificates",Marketing,,
31-Dec-15,31-Dec-15,23.29,E7078,SC802,Sep-2015,J4,Speech contest,Refreshments for Toastmasters members (Lublin Toastmasters and guests visited our contest),Refreshments,,
31-Dec-15,31-Dec-15,66.15,E7020,MK520,Sep-2015,J4,Other,"It is time for promotion - Students come to city (costs of marketing material like leaflets, certificates, posters  printing)",Marketing,,
11-Nov-15,11-Nov-15,1325.56,E7058,TR953,Aug-2015,PQD,Conference,Hotel@International Convention,Lodging,,
11/11/2015 11:33:36,11/11/2015,465.30,E7056,TR953,6/1/2015,PQD,Conference,International Convention Registration,Conference,,
11-Nov-15,11-Nov-15,465.30,E7056,TR953,Jun-2015,PQD,Conference,International Convention Registration,Conference,,
11-Nov-15,11-Nov-15,72.62,E7078,TR953,Aug-2015,PQD,Conference,Food@International Convention,Refreshments,,
11-Nov-15,11-Nov-15,57.46,E7062,TR953,Sep-2015,PQD,DECM,Travel to DECM in Wroclaw,Travel,Car,169 km
11-Nov-15,11-Nov-15,148.24,E7062,TR953,Jul-2015,PQD,Other,Visit to Conference Venue,Travel,Car,436 km
11-Nov-15,11-Nov-15,40.00,E7058,TR953,Jul-2015,PQD,Other,Conference Venue Visit,Lodging,,
15-Oct-15,15-Oct-15,32.86,E7078,CO152,Jun-2015,DD,Conference,Accruals 2014-2015 #RR474 -Food expense - Conference,Refreshments,,
27-Sep-15,27-Sep-15,140.97,E7008,ET705,Jun-2015,DD,Other,Accruals 2014-2015 RR #482 Educational material,Educational Material,,
27-Sep-15,27-Sep-15,15.78,E7020,ET705,Jun-2015,DD,Other,Accruals 2014-2015 #RR 482 PLN- Paper for printing diploma,Educational Material,,
30-Nov-15,30-Nov-15,91.80,E7062,TR958A,Sep-2015,B3,DECM,gasoline costs +  charges on the highway,Travel,Car,270 km
15-Oct-15,15-Oct-15,40.20,E7064,TR958A,Sep-2015,K1,DECM,Taxi from Helsinki downtown to Helsinki Airport due to nationwide strike 18.09.2015,Other,,
15-Oct-15,15-Oct-15,181.81,E7060,TR958A,Sep-2015,K1,DECM,Air tickets to Wroclaw DECM,Travel,Air,"1,416 km"
31-Dec-15,31-Dec-15,16.68,E7078,ET702,Aug-2015,K1,COT,"Snacks (solid, not drinks) for COT Areas K1 and K2. Aalto Design Factory, Espoo",Refreshments,,
31-Dec-15,31-Dec-15,75.00,E7010,SC802,Oct-2015,K1,Speech contest,Customs fees for trophies ordered to Toastmasters Shop. Area contests (Fall and Spring) for areas K1 and K2,Awards,,
11-Nov-15,11-Nov-15,54.80,E7010,SC801,Oct-2015,K0,Speech contest,"6 Trophies (2x 1st place, 2x 2nd place and 2x 3rd place)",Awards,,
15-Oct-15,15-Oct-15,50.00,E7006,ET702,Jun-2015,DD,Other,Accruals 2014-2015 #RR502 Educational material,Educational Material,,
11-Sep-15,11-Sep-15,19.05,E7078,ET702,Jul-2015,J0,COT,Refreshments during COT in Area J2,Refreshments,,
11-Sep-15,11-Sep-15,28.67,E7078,ET702,Jul-2015,J0,COT,Refreshments during COT in Area J3,Refreshments,,
11-Sep-15,11-Sep-15,12.96,E7078,ET702,Jul-2015,J0,COT,Refreshments during COT in Area J4,Refreshments,,
06-Oct-15,06-Oct-15,27.64,E7066,TR957A,Sep-2015,J0,DECM,Travel From DECM Wrocław - Train ticket,Travel,Train,359 km
06-Oct-15,06-Oct-15,28.19,E7066,TR957A,Sep-2015,J0,DECM,Travel To DECM Wrocław - Train ticket,Travel,Train,369 km
06-Oct-15,06-Oct-15,136.29,E7008,CP605,Aug-2015,J0,Other,"Marketing expense for promotional leaflets and posters, and notebooks",Marketing,,
25-Nov-15,25-Nov-15,14.00,E7078,ET702,Jul-2015,J0,COT,J1 Officer`s training,Refreshments,,
25-Nov-15,25-Nov-15,36.00,E7078,MK520,Sep-2015,J0,Other,Refreshments during Promotional event - Openair Toastmasters meeting in Park Pole Mokotowskie,Refreshments,,
25-Nov-15,25-Nov-15,68.00,E7080,SC802,Oct-2015,J0,Speech contest,J1 Speech Contest,Awards,,
25-Nov-15,25-Nov-15,62.00,E7080,SC802,Oct-2015,J0,Speech contest,J3 Speech Contest,Awards,,
31-Dec-15,31-Dec-15,15.30,E7078,SC802,Oct-2015,J0,Speech contest,"Awards, printed materials and snacks for speech contest",Conference,,
31-Dec-15,31-Dec-15,29.20,E7014,SC802,Oct-2015,J0,Speech contest,"Awards, printed materials and snacks for speech contest",Conference,,
31-Dec-15,31-Dec-15,5.54,E7020,SC802,Oct-2015,J0,Speech contest,"Awards, printed materials and snacks for speech contest",Conference,,
13-Nov-15,13-Nov-15,101.00,E7062,TR958B,Aug-2015,H2,Club visit,Fuel for the car..,Travel,Car,300 km
13-Nov-15,13-Nov-15,56.44,E7062,TR958B,Aug-2015,H2,Club visit,Fuel for the car..,Travel,Car,166 km
31-Dec-15,31-Dec-15,349.18,E7062,TR958A,Sep-2015,H2,DECM,Price of gas + hungary road tax + slovakia road tax,Travel,Car,"1,027 km"
31-Dec-15,31-Dec-15,40.00,E7058,TR958A,Sep-2015,H2,DECM,Accomodation in Wroclaw for DECM - Hostel Cinnamon - 2 nights,Other,,
11-Nov-15,11-Nov-15,179.79,E7060,TR958A,Sep-2015,I1,DECM,Flight DECM,Travel,Air,720 km
11-Nov-15,11-Nov-15,6.20,E7068,TR958A,Sep-2015,I1,DECM,public transport to airport Munich,Travel,Train,720 km
11-Nov-15,11-Nov-15,11.06,E7064,TR958A,Sep-2015,I1,DECM,taxi to airport Wroclav,Travel,Car,720 km
11-Nov-15,11-Nov-15,40.00,E7058,TR958A,Sep-2015,I1,DECM,hotel expense Wroclav,Lodging,,
11-Nov-15,11-Nov-15,21.75,E7066,TR958A,Aug-2015,I1,Other,Train to division council ,Travel,Train,191 km
11-Nov-15,11-Nov-15,33.75,E7066,TR958A,Aug-2015,I1,Other,Train back from division council ,Travel,Train,191 km
11-Nov-15,11-Nov-15,10.00,E7064,TR958A,Aug-2015,I1,Other,Taxi to division council ,Travel,Car,191 km
17-Sep-15,17-Sep-15,399.50,E7014,ET702,Jul-2015,F1,COT,"total fee: 565,00 Euro; venue rental: 964,50 Euro ==> diiference: 399,50 Euro",Venue rental,,
15-Sep-15,15-Sep-15,14.62,E7062,TR958B,Jul-2015,F1,Club visit,Downtown Stuttgart Toastmasters Club - club visit. total (down and back) 2x43 km (0.17 euro/km),Travel,Car,43.0 km
15-Sep-15,15-Sep-15,6.15,E7062,TR958B,Jul-2015,F1,Club visit,"Heilbronn Toastmasters Club - club visit. total (down and back) 2x18,1 km (0.17 euro/km)",Travel,Car,18.1 km
15-Sep-15,15-Sep-15,20.54,E7062,TR958B,Jul-2015,F1,Club visit,Stuttgart International Toastmasters Club - club visit. total (down and back) 2x60.4 km (0.17 EUR/km),Travel,Car,60.4 km
15-Sep-15,15-Sep-15,14.79,E7062,TR958B,Jul-2015,F1,Club visit,"Verdi Rhetorikklub + Rednermanufaktur - club visits. total (down + back) 2x43,5 km (0.17 Euro/km)",Travel,Car,43.5 km
27-Sep-15,27-Sep-15,283.58,E7060,TR958B,Sep-2015,F1,DECM,Airfare from Frankfurt to Wroclaw,Travel,Air,730 km
17-Nov-15,17-Nov-15,60.00,E7014,SC802,Sep-2015,F1,Speech contest,Area Contest F1 and F5 in Heilbronn,Venue rental,,
17-Nov-15,17-Nov-15,40.00,E7058,TR958A,Sep-2015,F1,DECM,DECM Sept. 2015 - Hotel Vega (2 overnight stay),Lodging,,
17-Nov-15,17-Nov-15,19.40,E7062,TR958B,Oct-2015,F1,Club visit,"Club Visit Rhetorik im Gebrüder Schmid Zentrum Stuttgart, Club no 4043940",Travel,Car,57.1 km
17-Sep-15,17-Sep-15,255.93,E7060,TR958B,Jun-2015,DD,DECM,Accruals 2014-2015 #RR475 AG Travel expense,Travel,Air,"1,432 km"
17-Sep-15,17-Sep-15,68.88,E7066,TR958B,Jun-2015,DD,Other,Accruals 2014-2015 #RR523 Transport - Travel other AG,Travel,Train,203 km
17-Sep-15,17-Sep-15,41.99,E7062,TR958B,Jun-2015,DD,Other,Accruals 2014-2015 #RR524 Transport - Travel other AG,Travel,Other,144 km
17-Sep-15,17-Sep-15,55.69,E7020,ET702,Jun-2015,DD,Other,Accruals 2014-2015 #RR520 Printing Educational Material,Educational Material,,
17-Sep-15,17-Sep-15,52.14,E7020,MK511,Jun-2015,DD,Other,Accruals 2014-2015 #RR525 Printing Educational Material,Educational Material,,
17-Sep-15,17-Sep-15,62.56,E7062,TR958B,Jun-2015,DD,Other,Accruals 2014-2015 #RR525 Travel demomeeting,Travel,Other,144 km
17-Sep-15,17-Sep-15,169.76,E7062,TR958B,Jun-2015,DD,Club visit,Accruals 2014-2015 #RR526 Travel AG Club Visit,Travel,Other,198 km
17-Sep-15,17-Sep-15,56.25,E7006,ET701,Jun-2015,DD,Other,Accruals 2014-2015 #RR528 Educational material,Educational Material,,
22-Oct-15,22-Oct-15,53.56,E7066,TR957A,Sep-2015,G0,DECM,Train Aarhus Copenhagen,Travel,Train,308 km
22-Oct-15,22-Oct-15,53.56,E7066,TR957A,Sep-2015,G0,DECM,Train Copenhagen Aarhus ,Travel,Train,306 km
22-Oct-15,22-Oct-15,264.52,E7060,TR957A,Sep-2015,G0,DECM,Flight Copenhagen-Wroclav-Copenhagen (via Frankfurt) - 580 km one way,Travel,Air,580
30-Nov-15,30-Nov-15,29.75,E7020,ET702,Jul-2015,G0,COT,Print  COT1 G2,Educational Material,,
30-Nov-15,30-Nov-15,30.96,E7020,ET702,Sep-2015,G0,COT,Print  promotion CAP,Marketing,,
30-Nov-15,30-Nov-15,15.26,E7044,AD900,Jul-2015,G0,Other,Post- Area Directors,Other,,
30-Nov-15,30-Nov-15,6.57,E7044,AD900,Jul-2015,G0,Other,Post- Area Directors,Other,,
06-Dec-15,06-Dec-15,2866.88,E7014,CO152,May-2016,DD,Conference,Spring Conference Venue down payment,Venue rental,,
24-Jan-16,24-Jan-16,60.28,E7080,SC802,Oct-2015,C0,Speech contest,Awards and Certificates for Area C3 contest,Awards,,
24-Jan-16,24-Jan-16,37.44,E7020,SC802,Oct-2015,C0,Speech contest,Awards and Certificates for Area C3 contest,Awards,,
25-Nov-15,25-Nov-15,36.80,E7014,SC802,Oct-2015,L4,Conference,Area room rental,Venue rental,,
25-Nov-15,25-Nov-15,21.39,E7080,SC802,Oct-2015,L4,Conference,Area conference awards,Awards,,
25-Nov-15,25-Nov-15,26.99,E7020,SC802,Oct-2015,L4,Conference,Area conference printing expenses,Conference,,
25-Nov-15,25-Nov-15,57.95,E7020,MK511,Aug-2015,L4,Other,Printing expense - Flyers and business cards,Communication,,
06-Oct-15,06-Oct-15,95.00,R6060,CO152,Jun-2015,DD,Speech contest,Accruals 2014-2015 #RR443,Awards,,
22-Oct-15,22-Oct-15,91.12,E7062,TR957A,Sep-2015,C0,DECM,DECM Wroclaw Travel cost by car (Division C Director),Travel,Car,268 km
09-Sep-15,09-Sep-15,520.98,E7058,TR952,Aug-2015,CGD,Other,Lodging expense TI Convention Las Vegas 1/3 of the total invoice - Club Growth Director paid by my Credit card,Lodging,,
09-Sep-15,09-Sep-15,267.95,E7062,TR951,Jul-2015,DD,Conference,Visiting the Conference venue in Prague,Travel,Air,"1,721 km"
09-Sep-15,09-Sep-15,171.56,E7060,TR951,Sep-2015,DD,DECM,Airfare to Wroclaw,Travel,Air,"1,399 km"
09-Sep-15,09-Sep-15,40.00,E7058,TR951,Jul-2015,DD,Other,Lodging during the visit to Prague,Lodging,,
09-Sep-15,09-Sep-15,520.98,E7058,TR951,Aug-2015,DD,Other,Lodging expense TI Convention Las Vegas 1/3 of the total invoice,Lodging,,
09-Sep-15,09-Sep-15,170.57,E7056,AD900,Aug-2015,DD,Other,TI Convention registration fee,Conference,,
25-Nov-15,25-Nov-15,255.99,E7060,TR951,Oct-2015,DD,Other,Division A Conference visti,Travel,Air,"1,843 km"
25-Nov-15,25-Nov-15,232.97,E7060,TR951,Oct-2015,DD,Other,Visit Timisoara D95 Conference venue and division H Conference visit,Travel,Air,"1,955 km"
25-Nov-15,25-Nov-15,189.35,E7060,TR951,Nov-2015,DD,Other,District 95 Conference,Travel,Air,"1,743 km"
13-Nov-15,13-Nov-15,94.01,E7014,ET300,Aug-2015,A1,COT,Rent of training room,Venue rental,,
13-Nov-15,13-Nov-15,40.00,E7058,TR958A,Sep-2015,A1,DECM,cost of hotel,Lodging,,
13-Nov-15,13-Nov-15,78.50,E7066,TR958A,Sep-2015,A1,DECM,train ticket to Berlin - from there by car,Travel,Train,624 km
13-Nov-15,13-Nov-15,10.00,E7016,ET300,Aug-2015,A1,COT,"Tee, coffee, printing of badges for participants (receipt lost, but costs exceeded 10 EUR",Refreshments,,
31-Dec-15,31-Dec-15,18.07,E7062,TR958B,Oct-2015,A1,Club visit,Travel cost,Travel,Car,53.5 km
31-Dec-15,31-Dec-15,80.00,E7020,CP606,Sep-2015,A1,Other,PR expenses - Stade TM,Communication,,
31-Dec-15,31-Dec-15,19.52,E7062,TR958B,Dec-2015,A1,Club visit,Travel cost,Travel,Car,57.3 km
13-Nov-15,13-Nov-15,787.15,E7020,CO151,Nov-2015,L0,Conference,Regristration welcome pack ,Conference,,
31-Dec-15,31-Dec-15,44.10,E7066,TR958B,Sep-2015,K3,Club visit,Area Director club visit to Toastmasters Kaunas 02675568,Travel,Bus,265 km
21-Oct-15,21-Oct-15,94.01,E7014,ET300,Aug-2015,A2,COT,room charges,Other,,
21-Oct-15,21-Oct-15,5.02,E7012,ET300,Aug-2015,A2,COT,additional charges for world cafe exercises,Educational Material,,
21-Oct-15,21-Oct-15,4.42,E7062,ET702,Aug-2015,A2,COT,travel from home to COT,Travel,Car,14.2 km
21-Oct-15,21-Oct-15,18.70,E7062,TR958B,Aug-2015,A2,Club visit,travel to club visit,Travel,Car,55.0 km
21-Oct-15,21-Oct-15,21.08,E7062,TR958B,Aug-2015,A2,Club visit,travel to club visit,Travel,Car,61.9 km
31-Dec-15,31-Dec-15,264.28,E7060,TR958A,Sep-2015,K3,DECM,Airfare roundtrip Riga-Wroclaw-Riga for DECM,Travel,Air,
10-Dec-15,10-Dec-15,89.06,E7006,MK520,Aug-2015,L5,Other,2015 INTERNATIONAL CONVENTION virtual Ticket,Marketing,,
10-Dec-15,10-Dec-15,15.22,E7016,ET702,Jul-2015,L5,COT,Refreshment,Refreshments,,
